,,,,,,,,,,,
,,,,International Migrant Stock 2020: Destination,,,,,,,
,,,,"Table 4: Female migrants as a percentage of the international migrant stock by region, country or area of destination, 1990-2020",,,,,,,
,,,,POP/DB/MIG/Stock/Rev.2020,,,,,,,
,,,,"Suggested citation: United Nations Department of Economic and Social Affairs, Population Division (2020). International Migrant Stock 2020.",,,,,,,
,,,,"Copyright © 2020 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,
,,,,,,,,,,,
,,,,,Female migrants as a percentage of the international migrant stock,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
1,WORLD,,900,,49.3,49.4,49.4,49.0,48.4,48.3,48.1
2,  Sub-Saharan Africa,,947,,46.9,47.4,47.2,46.4,47.1,47.6,47.6
3,  Northern Africa and Western Asia,,1833,,42.4,41.6,40.7,38.3,35.2,35.5,35.8
4,  Central and Southern Asia,,921,,49.3,49.9,49.7,50.2,50.1,50.2,49.9
5,  Eastern and South-Eastern Asia,,1832,,48.7,49.7,50.8,50.4,50.1,49.5,49.4
6,  Latin America and the Caribbean,,1830,,49.8,49.9,50.1,50.3,50.3,49.8,49.5
7,  Oceania (excluding Australia and New Zealand),,1835,,44.2,45.4,47.1,47.3,46.9,47.0,47.1
8,  Australia and New Zealand,,927,,49.2,49.8,50.3,50.6,50.5,50.5,50.6
9,  Europe and Northern America,,1829,,51.3,51.3,51.2,51.1,51.5,51.8,51.7
10,  Developed regions,,901,,51.2,51.2,51.1,51.1,51.5,51.8,51.6
11,  Less developed regions,,902,,47.1,47.0,46.7,45.7,44.1,43.7,43.6
12," Less developed regions, excluding least developed countries",,934,,46.6,46.4,46.1,45.2,43.3,42.8,42.6
13," Less developed regions, excluding China",,948,,47.0,46.8,46.4,45.3,43.6,43.3,43.2
14,  Least developed countries,,941,,49.8,50.1,50.0,49.2,50.3,50.2,50.4
15,  Land-locked Developing Countries (LLDC),,1636,,53.3,53.8,53.7,53.1,52.2,51.5,51.6
16,  Small island developing States (SIDS),,1637,,47.5,48.7,50.0,49.4,48.6,47.9,47.0
17,  High-income countries,,1503,,48.5,48.8,49.0,48.7,47.9,47.9,47.6
18,  Middle-income countries,,1517,,50.1,50.2,49.9,49.4,49.3,48.8,48.8
19, Upper-middle-income countries,,1502,,49.8,49.8,49.4,49.0,48.6,47.9,47.9
20, Lower-middle-income countries,,1501,,50.5,50.7,50.5,50.0,50.5,50.7,50.4
21,  Low-income countries,,1500,,49.7,49.6,49.5,50.0,49.9,50.1,50.6
