Region,Notes,Location code,Type of data,Year,Numero de Migrantes,Género
 AFRICA,0,903,0,1990.1,8279127,Hombres
  Eastern Africa,0,910,0,1990.1,3069356,Hombres
   Burundi,0,108,B R,1990.1,163267,Hombres
   Comoros,0,174,B,1990.1,6717,Hombres
   Djibouti,0,262,B R,1990.1,64242,Hombres
   Eritrea,0,232,I R,1990.1,6228,Hombres
   Ethiopia,0,231,B R,1990.1,607284,Hombres
   Kenya,0,404,B R,1990.1,161259,Hombres
   Madagascar,0,450,C R,1990.1,13348,Hombres
   Malawi,0,454,B R,1990.1,546520,Hombres
   Mauritius*,0,480,C,1990.1,1763,Hombres
   Mayotte*,1,175,B R,1990.1,8780,Hombres
   Mozambique,0,508,B R,1990.1,66060,Hombres
   Réunion*,2,638,B,1990.1,30724,Hombres
   Rwanda,0,646,B R,1990.1,80763,Hombres
   Seychelles,0,690,B,1990.1,2204,Hombres
   Somalia,0,706,I R,1990.1,244201,Hombres
   South Sudan,0,728,B R,1990.1,0,Hombres
   Uganda,0,800,B R,1990.1,283337,Hombres
   United Republic of Tanzania*,0,834,B R,1990.1,283390,Hombres
   Zambia,0,894,B R,1990.1,143029,Hombres
   Zimbabwe,0,716,B R,1990.1,356240,Hombres
  Middle Africa,0,911,0,1990.1,744853,Hombres
   Angola,0,24,B R,1990.1,18142,Hombres
   Cameroon,0,120,B R,1990.1,145869,Hombres
   Central African Republic,0,140,C R,1990.1,35686,Hombres
   Chad,0,148,B R,1990.1,40133,Hombres
   Congo,0,178,B R,1990.1,64316,Hombres
   Democratic Republic of the Congo,0,180,B R,1990.1,363117,Hombres
   Equatorial Guinea,0,226,C,1990.1,1465,Hombres
   Gabon,0,266,C R,1990.1,73172,Hombres
   Sao Tome and Principe,0,678,C,1990.1,2953,Hombres
  Northern Africa,0,912,0,1990.1,1230710,Hombres
   Algeria,0,12,B R,1990.1,150234,Hombres
   Egypt,0,818,B R,1990.1,91995,Hombres
   Libya,0,434,C R,1990.1,242707,Hombres
   Morocco,0,504,C R,1990.1,29024,Hombres
   Sudan,3,729,B R,1990.1,696385,Hombres
   Tunisia,0,788,C R,1990.1,18900,Hombres
   Western Sahara,0,732,I,1990.1,1465,Hombres
  Southern Africa,0,913,0,1990.1,841812,Hombres
   Botswana,0,72,B R,1990.1,16614,Hombres
   Eswatini,0,748,B R,1990.1,39905,Hombres
   Lesotho,0,426,C R,1990.1,4318,Hombres
   Namibia,0,516,B R,1990.1,63748,Hombres
   South Africa,0,710,B R,1990.1,717227,Hombres
  Western Africa,0,914,0,1990.1,2392396,Hombres
   Benin,0,204,C B R,1990.1,40418,Hombres
   Burkina Faso,0,854,B R,1990.1,167834,Hombres
   Cabo Verde,0,132,B R,1990.1,4429,Hombres
   Côte d'Ivoire,0,384,C B R,1990.1,1011749,Hombres
   Gambia,0,270,B R,1990.1,66306,Hombres
   Ghana,0,288,B R,1990.1,83030,Hombres
   Guinea,0,324,C B R,1990.1,201260,Hombres
   Guinea-Bissau,0,624,B R,1990.1,7689,Hombres
   Liberia,0,430,B R,1990.1,53924,Hombres
   Mali,0,466,B R,1990.1,82049,Hombres
