País,Código de ubicación,Año,Numero de Migrantes
   Burundi,108,2000,51.4
   Comoros,174,2000,52.8
   Djibouti,262,2000,47.3
   Eritrea,232,2000,47.1
   Ethiopia,231,2000,47.3
   Kenya,404,2000,50.1
   Madagascar,450,2000,43.6
   Malawi,454,2000,52.1
   Mauritius*,480,2000,63.3
   Mayotte*,175,2000,48.2
   Mozambique,508,2000,47.3
   Réunion*,638,2000,48.1
   Rwanda,646,2000,49.4
   Seychelles,690,2000,41.6
   Somalia,706,2000,47.1
   South Sudan,728,2000,0.0
   Uganda,800,2000,50.2
   United Republic of Tanzania*,834,2000,49.3
   Zambia,894,2000,49.1
   Zimbabwe,716,2000,43.0
   Angola,24,2000,49.3
   Cameroon,120,2000,45.4
   Central African Republic,140,2000,46.9
   Chad,148,2000,46.1
   Congo,178,2000,49.9
   Democratic Republic of the Congo,180,2000,51.0
   Equatorial Guinea,226,2000,47.0
   Gabon,266,2000,42.6
   Sao Tome and Principe,678,2000,49.3
   Algeria,12,2000,45.2
   Egypt,818,2000,46.8
   Libya,434,2000,35.0
   Morocco,504,2000,48.6
   Sudan,729,2000,49.7
   Tunisia,788,2000,49.1
   Western Sahara,732,2000,44.1
   Botswana,72,2000,41.5
   Eswatini,748,2000,47.4
   Lesotho,426,2000,45.9
   Namibia,516,2000,46.0
   South Africa,710,2000,40.3
   Benin,204,2000,46.4
   Burkina Faso,854,2000,51.8
   Cabo Verde,132,2000,47.8
   Côte d'Ivoire,384,2000,44.6
   Gambia,270,2000,46.8
   Ghana,288,2000,49.2
   Guinea,324,2000,50.2
   Guinea-Bissau,624,2000,50.3
   Liberia,430,2000,45.9
   Mali,466,2000,48.4
   Mauritania,478,2000,45.7
   Niger,562,2000,52.4
   Nigeria,566,2000,44.6
   Saint Helena*,654,2000,43.5
   Senegal,686,2000,47.6
   Sierra Leone,694,2000,44.7
   Togo,768,2000,49.9
   Kazakhstan,398,2000,53.9
   Kyrgyzstan,417,2000,58.2
   Tajikistan,762,2000,56.0
   Turkmenistan,795,2000,53.1
   Uzbekistan,860,2000,56.9
   China*,156,2000,50.0
"   China, Hong Kong SAR*",344,2000,54.1
"   China, Macao SAR*",446,2000,54.6
"   China, Taiwan Province of China*",158,2000,0.0
   Dem. People's Republic of Korea,408,2000,51.0
   Japan,392,2000,52.7
   Mongolia,496,2000,44.4
   Republic of Korea,410,2000,41.4
   Brunei Darussalam,96,2000,44.1
   Cambodia,116,2000,51.0
   Indonesia,360,2000,47.6
   Lao People's Democratic Republic,418,2000,47.3
   Malaysia*,458,2000,43.8
   Myanmar,104,2000,46.8
   Philippines,608,2000,49.1
   Singapore,702,2000,55.5
   Thailand,764,2000,48.5
   Timor-Leste,626,2000,51.9
   Viet Nam,704,2000,42.2
   Afghanistan,4,2000,43.6
   Bangladesh,50,2000,46.2
   Bhutan,64,2000,18.5
   India,356,2000,48.5
   Iran (Islamic Republic of),364,2000,44.9
   Maldives,462,2000,45.0
   Nepal,524,2000,66.3
   Pakistan,586,2000,46.2
   Sri Lanka,144,2000,45.3
   Armenia,51,2000,58.9
   Azerbaijan*,31,2000,56.9
   Bahrain,48,2000,30.9
   Cyprus*,196,2000,56.6
   Georgia*,268,2000,56.2
   Iraq,368,2000,42.8
   Israel,376,2000,53.9
   Jordan,400,2000,49.0
   Kuwait,414,2000,32.5
   Lebanon,422,2000,49.0
   Oman,512,2000,21.7
   Qatar,634,2000,23.8
   Saudi Arabia,682,2000,33.2
   State of Palestine*,275,2000,54.7
   Syrian Arab Republic,760,2000,48.7
   Turkey,792,2000,51.9
   United Arab Emirates,784,2000,28.2
   Yemen,887,2000,44.5
   Belarus,112,2000,54.2
   Bulgaria,100,2000,57.9
   Czechia,203,2000,46.0
   Hungary,348,2000,53.5
   Poland,616,2000,59.0
   Republic of Moldova*,498,2000,59.2
   Romania,642,2000,53.0
   Russian Federation,643,2000,49.7
   Slovakia,703,2000,56.0
   Ukraine*,804,2000,57.1
   Channel Islands*,830,2000,53.0
   Denmark*,208,2000,51.5
   Estonia,233,2000,59.6
   Faroe Islands*,234,2000,46.5
   Finland*,246,2000,50.5
   Iceland,352,2000,54.7
   Ireland,372,2000,50.7
   Isle of Man*,833,2000,52.0
   Latvia,428,2000,58.7
   Lithuania,440,2000,53.1
   Norway*,578,2000,50.5
   Sweden,752,2000,52.2
   United Kingdom*,826,2000,52.9
   Albania,8,2000,53.1
   Andorra,20,2000,47.6
   Bosnia and Herzegovina,70,2000,52.2
   Croatia,191,2000,53.0
   Gibraltar*,292,2000,52.0
   Greece,300,2000,49.6
   Holy See*,336,2000,52.0
   Italy,380,2000,54.0
   Malta,470,2000,52.2
   Montenegro,499,2000,0.0
   North Macedonia,807,2000,58.3
   Portugal,620,2000,50.8
   San Marino,674,2000,46.2
   Serbia*,688,2000,55.2
   Slovenia,705,2000,46.5
   Spain*,724,2000,49.4
   Austria,40,2000,52.0
   Belgium,56,2000,49.8
   France*,250,2000,50.7
   Germany,276,2000,49.9
   Liechtenstein,438,2000,48.5
   Luxembourg,442,2000,50.4
   Monaco,492,2000,52.0
   Netherlands*,528,2000,50.8
   Switzerland,756,2000,46.4
   Anguilla*,660,2000,53.0
   Antigua and Barbuda,28,2000,55.3
   Aruba*,533,2000,55.1
   Bahamas,44,2000,46.7
   Barbados,52,2000,56.4
"   Bonaire, Sint Eustatius and Saba*",535,2000,0.0
