País,Código de País,Código de ubicación,Año,Hombres,Mujeres
   Burundi,BY,108,2000,61094,64534
   Comoros,COM,174,2000,6511,7288
   Djibouti,DJI,262,2000,52920,47587
   Eritrea,ERI,232,2000,6856,6096
   Ethiopia,ETH,231,2000,322219,289165
   Kenya,KEN,404,2000,352933,354919
   Madagascar,MDG,450,2000,13276,10265
   Malawi,MWI,454,2000,111530,121090
   Mauritius*,MUS,480,2000,5705,9838
   Mayotte*,MYT,175,2000,23546,21928
   Mozambique,MOZ,508,2000,103175,92527
   Réunion*,REU,638,2000,52264,48414
   Rwanda,RWA,646,2000,175741,171335
   Seychelles,SYC,690,2000,3837,2737
   Somalia,SOM,706,2000,10628,9469
   South Sudan,SSD,728,2000,0,0
   Uganda,UGS,800,2000,290859,293421
   United Republic of Tanzania*,TZA,834,2000,481816,467784
   Zambia,ZMB,894,2000,175114,168589
   Zimbabwe,ZWE,716,2000,233881,176228
   Angola,AGO,24,2000,23367,22741
   Cameroon,CMR,120,2000,124008,103234
   Central African Republic,CAF,140,2000,65636,57893
   Chad,TCD,148,2000,56463,48362
   Congo,COG,178,2000,153107,152773
   Democratic Republic of the Congo,COD,180,2000,365092,379295
   Equatorial Guinea,GNQ,226,2000,2394,2123
   Gabon,GAB,266,2000,122986,91445
   Sao Tome and Principe,STP,678,2000,2212,2153
   Algeria,DZA,12,2000,137158,112952
   Egypt,EGY,818,2000,98224,86550
   Libya,LBY,434,2000,368950,198486
   Morocco,MAR,504,2000,27233,25801
   Sudan,SND,729,2000,404618,400468
   Tunisia,TUN,788,2000,18679,18040
   Western Sahara,ESH,732,2000,1837,1452
   Botswana,BWA,72,2000,43840,31094
   Eswatini,SWZ,748,2000,17921,16163
   Lesotho,LSO,426,2000,3335,2832
   Namibia,NAM,516,2000,73154,62393
   South Africa,ZAF,710,2000,607602,409361
   Benin,BEN,204,2000,72190,62465
   Burkina Faso,BFA,854,2000,250555,269808
   Cabo Verde,CPV,132,2000,5753,5274
   Côte d'Ivoire,CIV,384,2000,1198496,965148
   Gambia,GMB,270,2000,97138,85376
   Ghana,GHA,288,2000,97279,94322
   Guinea,GIN,324,2000,279108,280967
   Guinea-Bissau,GNB,624,2000,10155,10295
   Liberia,LBR,430,2000,82129,69739
   Mali,MLI,466,2000,97752,91723
   Mauritania,MRT,478,2000,31163,26203
   Niger,NER,562,2000,58192,64068
   Nigeria,NGA,566,2000,270211,217671
   Saint Helena*,SHN,654,2000,61,47
   Senegal,SEN,686,2000,121492,110409
   Sierra Leone,SLE,694,2000,54184,43790
   Togo,TGO,768,2000,69112,68856
   Kazakhstan,KAZ,398,2000,1323580,1550614
   Kyrgyzstan,KGZ,417,2000,162927,226897
   Tajikistan,TJK,762,2000,131653,167846
   Turkmenistan,TKM,795,2000,102810,116257
   Uzbekistan,UZB,860,2000,606163,800335
   China*,CHN,156,2000,254082,253952
"   China, Hong Kong SAR*",HKG,344,2000,1225629,1443493
"   China, Macao SAR*",MAC,446,2000,109391,131400
"   China, Taiwan Province of China*",TWN,158,2000,0,0
   Dem. People's Republic of Korea,PRK,408,2000,17731,18452
   Japan,JPN,392,2000,796928,889516
   Mongolia,MNG,496,2000,4564,3642
   Republic of Korea,KOR,410,2000,143212,101012
   Brunei Darussalam,BRN,96,2000,53807,42489
   Cambodia,KHM,116,2000,71638,74447
   Indonesia,IDN,360,2000,153315,138992
   Lao People's Democratic Republic,LAO,418,2000,11564,10384
   Malaysia*,MYS,458,2000,822679,640919
   Myanmar,MMR,104,2000,52150,45861
   Philippines,PHL,608,2000,161904,156191
   Singapore,SGP,702,2000,601671,750020
   Thailand,THA,764,2000,647728,610093
   Timor-Leste,TLS,626,2000,5095,5507
   Viet Nam,VNM,704,2000,32825,23929
   Afghanistan,AFG,4,2000,42848,33069
   Bangladesh,BGD,50,2000,531907,455946
   Bhutan,BTN,64,2000,26200,5937
   India,IND,356,2000,3303591,3107740
   Iran (Islamic Republic of),IRN,364,2000,1365390,1111079
   Maldives,MDV,462,2000,14907,12185
   Nepal,NPL,524,2000,241959,475941
   Pakistan,PAK,586,2000,2249960,1931952
   Sri Lanka,LKA,144,2000,21971,18161
   Armenia,ARM,51,2000,270170,387730
   Azerbaijan*,AZE,31,2000,141161,186379
   Bahrain,BHR,48,2000,165344,74017
   Cyprus*,CYP,196,2000,34745,45331
   Georgia*,GEO,268,2000,33321,42796
   Iraq,IRQ,368,2000,120464,90061
   Israel,ISR,376,2000,853712,997597
   Jordan,JOR,400,2000,982977,944868
   Kuwait,KWT,414,2000,761512,366128
   Lebanon,LBN,422,2000,353305,339608
   Oman,OMN,512,2000,488389,135219
   Qatar,QAT,634,2000,274242,85455
   Saudi Arabia,SAU,682,2000,3517768,1745619
   State of Palestine*,PSE,275,2000,124555,150647
   Syrian Arab Republic,SYR,760,2000,427981,406935
   Turkey,TUR,792,2000,616007,664956
   United Arab Emirates,ARE,784,2000,1757200,689810
   Yemen,YEM,887,2000,80514,64426
   Belarus,BLR,112,2000,514593,608993
   Bulgaria,BGR,100,2000,18238,25122
   Czechia,CZE,203,2000,119227,101562
   Hungary,HUN,348,2000,138219,158738
   Poland,POL,616,2000,338323,486928
   Republic of Moldova*,MDA,498,2000,101097,146731
   Romania,ROU,642,2000,63121,71133
   Russian Federation,RUS,643,2000,5982851,5917446
   Slovakia,SVK,703,2000,51253,65123
   Ukraine*,UKR,804,2000,2368364,3158723
