"Region, development group, country or area",Notes,Location code,Type of data,Year,Numero de Migrantes,Género
   Burundi,0,108,B R,1990C,6.1,Combinado
   Comoros,0,174,B,1990C,3.4,Combinado
   Djibouti,0,262,B R,1990C,20.7,Combinado
   Eritrea,0,232,I R,1990C,0.5,Combinado
   Ethiopia,0,231,B R,1990C,2.4,Combinado
   Kenya,0,404,B R,1990C,1.3,Combinado
   Madagascar,0,450,C R,1990C,0.2,Combinado
   Malawi,0,454,B R,1990C,12.0,Combinado
   Mauritius*,0,480,C,1990C,0.3,Combinado
   Mayotte*,1.0,175,B R,1990C,16.1,Combinado
   Mozambique,0,508,B R,1990C,0.9,Combinado
   Réunion*,2.0,638,B,1990C,9.4,Combinado
   Rwanda,0,646,B R,1990C,2.2,Combinado
   Seychelles,0,690,B,1990C,5.3,Combinado
   Somalia,0,706,I R,1990C,6.6,Combinado
   South Sudan,0,728,B R,1990C,0.0,Combinado
   Uganda,0,800,B R,1990C,3.1,Combinado
   United Republic of Tanzania*,0,834,B R,1990C,2.3,Combinado
   Zambia,0,894,B R,1990C,3.5,Combinado
   Zimbabwe,0,716,B R,1990C,6.1,Combinado
  Middle Africa,0,911,0,1990C,2.1,Combinado
   Angola,0,24,B R,1990C,0.3,Combinado
   Cameroon,0,120,B R,1990C,2.3,Combinado
   Central African Republic,0,140,C R,1990C,2.4,Combinado
   Chad,0,148,B R,1990C,1.2,Combinado
   Congo,0,178,B R,1990C,5.5,Combinado
   Democratic Republic of the Congo,0,180,B R,1990C,2.2,Combinado
   Equatorial Guinea,0,226,C,1990C,0.7,Combinado
   Gabon,0,266,C R,1990C,13.5,Combinado
   Sao Tome and Principe,0,678,C,1990C,4.7,Combinado
  Northern Africa,0,912,0,1990C,1.7,Combinado
   Algeria,0,12,B R,1990C,1.1,Combinado
   Egypt,0,818,B R,1990C,0.3,Combinado
   Libya,0,434,C R,1990C,10.3,Combinado
   Morocco,0,504,C R,1990C,0.2,Combinado
   Sudan,3.0,729,B R,1990C,7.0,Combinado
   Tunisia,0,788,C R,1990C,0.5,Combinado
   Western Sahara,0,732,I,1990C,1.2,Combinado
  Southern Africa,0,913,0,1990C,3.3,Combinado
   Botswana,0,72,B R,1990C,2.1,Combinado
   Eswatini,0,748,B R,1990C,9.1,Combinado
   Lesotho,0,426,C R,1990C,0.5,Combinado
   Namibia,0,516,B R,1990C,8.4,Combinado
   South Africa,0,710,B R,1990C,3.2,Combinado
  Western Africa,0,914,0,1990C,2.5,Combinado
   Benin,0,204,C B R,1990C,1.5,Combinado
   Burkina Faso,0,854,B R,1990C,4.0,Combinado
   Cabo Verde,0,132,B R,1990C,2.6,Combinado
