,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
0,North America,2014,1.0,1,,,1.0,,Central America,Guatemala,US-Mexico border crossing,"31.650259, -110.366453"
1,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.59713, -111.73756"
2,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.94026, -113.01125"
3,North America,2014,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.506777, -109.315632"
4,Europe,2014,1.0,1,2.0,,1.0,,Northern Africa,Sudan,,"59.1551, 28"
5,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.45435, -113.18402"
6,Mediterranean,2014,12.0,12,,9.0,,3.0,Unknown,"Afghanistan,Syrian Arab Republic",Eastern Mediterranean,"37.2832, 27"
7,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.478317, -113.182833"
8,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.81154, -111.01101"
9,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.174017, -112.174583"
10,North America,2014,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.40291, -113.02935"
11,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.159, -112.919"
12,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.481483, -111.654933"
13,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.481683, -111.654933"
14,Europe,2014,1.0,1,2.0,,1.0,1.0,Southern Asia,Iran (Islamic Republic of),English Channel to the UK,"50.9355, 2"
15,Caribbean,2014,1.0,1,,,1.0,1.0,Caribbean,Haiti,Caribbean to US,"26.116, -80"
16,South-eastern Asia,2014,5.0,5,500.0,,5.0,,South-eastern Asia,Myanmar,,"7.0167471, 100.4674982"
17,Mediterranean,2014,15.0,15,0.0,,1.0,,Unknown,"Cameroon,Unknown",Western Mediterranean,"35.8793, -5"
18,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.8054, -111.854867"
19,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.992833, -111.385833"
20,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.17305, -112.20211"
21,Mediterranean,2014,2.0,2,121.0,,2.0,,Eastern Africa,Somalia,Central Mediterranean,"34.5645, 16"
22,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.00768, -112.1726"
23,North America,2014,1.0,1,2.0,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.5543, -117"
24,Caribbean,2014,8.0,8,0.0,,,,Caribbean,Haiti,Haiti to Dominican Republic,"18.4505, -68"
25,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.82214, -111.96383"
26,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.08795, -112.58407"
27,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.0885, -112.44956"
28,Southern Asia,2014,1.0,1,0.0,,1.0,,Southern Asia,Bangladesh,,"25.1841, 89"
29,Eastern Africa,2014,11.0,17,0.0,,,,Eastern Africa,Ethiopia,Horn of Africa to Yemen crossing,"20.2802, 39"
