Año,Country Name,Country Code,Crecimiento del PIB (anual %),Tasa de desempleo (%),"Inflación, deflactor PIB (anual %)","Homicidios intencionales (por 100,000 personas)",Muertes por conflicto (nro personas),Control de Corrupción (rango percentil),Emisiones de CO2 (kt),Esperanza de vida al nacer (años),Migración neta,Población total
2000,Argentina,ARG,-0.79%,15.00%,1.04%,0.00,0,52.13,"132,265.5",73.93,"-22,770.0","37,070,774.0"
2000,Australia,AUS,3.90%,6.28%,2.56%,1.90,0,93.62,"339,422.8",79.23,"109,375.0","19,028,802.0"
2000,Brazil,BRA,4.39%,10.53%,5.61%,25.80,0,57.98,"313,670.8",69.74,"-1,761.0","175,873,720.0"
2000,China,CHN,8.49%,3.26%,2.06%,0.00,0,49.47,"3,346,525.8",71.88,"-549,792.0","1,262,645,000.0"
2000,France,FRA,3.92%,10.22%,1.55%,1.79,0,88.83,"373,235.8",79.06,"102,857.0","60,921,384.0"
2000,Germany,DEU,2.91%,7.92%,-0.49%,1.67,0,93.09,"830,284.1",77.93,"60,905.0","82,211,508.0"
2000,India,IND,3.84%,7.77%,3.64%,4.55,"2,929",43.62,"937,858.4",62.67,"-149,966.0","1,059,633,675.0"
2000,Indonesia,IDN,4.92%,6.08%,20.45%,1.03,286,21.81,"280,635.7",66.43,"-42,697.0","214,072,421.0"
2000,Italy,ITA,3.79%,10.83%,1.79%,1.34,0,75.00,"436,296.6",79.78,"49,166.0","56,942,108.0"
2000,Japan,JPN,2.76%,4.75%,-1.34%,0.53,0,85.11,"1,184,424.9",81.08,"84,477.0","126,843,000.0"
2000,"Korea, Rep.",KOR,9.06%,4.06%,1.02%,0.79,0,63.30,"447,237.3",75.91,"-72,624.0","47,008,111.0"
2000,Mexico,MEX,4.94%,2.65%,11.15%,10.97,0,54.79,"379,176.0",73.57,"-356,430.0","97,873,442.0"
2000,Netherlands,NLD,4.20%,2.73%,3.42%,1.13,0,96.81,"162,096.7",77.99,"21,650.0","15,925,513.0"
2000,Russian Federation,RUS,10.00%,10.58%,37.70%,27.98,"2,907",20.21,"1,563,845.6",65.48,"404,928.0","146,596,869.0"
