indicator,country,countryiso3code,date,value
Net migration,Africa Eastern and Southern,AFE,2020,-48955.0
Net migration,Africa Eastern and Southern,AFE,2019,-187410.0
Net migration,Africa Eastern and Southern,AFE,2018,-366105.0
Net migration,Africa Eastern and Southern,AFE,2017,-343075.0
Net migration,Africa Eastern and Southern,AFE,2016,-864708.0
Net migration,Africa Eastern and Southern,AFE,2015,394925.0
Net migration,Africa Eastern and Southern,AFE,2014,-199608.0
Net migration,Africa Eastern and Southern,AFE,2013,-92842.0
Net migration,Africa Eastern and Southern,AFE,2012,-285231.0
Net migration,Africa Eastern and Southern,AFE,2011,-683611.0
Net migration,Africa Eastern and Southern,AFE,2010,-371556.0
Net migration,Africa Eastern and Southern,AFE,2009,-473488.0
Net migration,Africa Eastern and Southern,AFE,2008,-359068.0
Net migration,Africa Eastern and Southern,AFE,2007,-214900.0
Net migration,Africa Eastern and Southern,AFE,2006,-284378.0
Net migration,Africa Eastern and Southern,AFE,2005,-357877.0
Net migration,Africa Eastern and Southern,AFE,2004,-331713.0
Net migration,Africa Eastern and Southern,AFE,2003,-342557.0
Net migration,Africa Eastern and Southern,AFE,2002,-452301.0
Net migration,Africa Eastern and Southern,AFE,2001,-409728.0
Net migration,Africa Eastern and Southern,AFE,2000,-564510.0
Net migration,Africa Eastern and Southern,AFE,1999,-399164.0
Net migration,Africa Eastern and Southern,AFE,1998,-432996.0
Net migration,Africa Eastern and Southern,AFE,1997,-813478.0
Net migration,Africa Eastern and Southern,AFE,1996,-427138.0
Net migration,Africa Eastern and Southern,AFE,1995,-243945.0
Net migration,Africa Eastern and Southern,AFE,1994,-391945.0
Net migration,Africa Eastern and Southern,AFE,1993,-156997.0
Net migration,Africa Eastern and Southern,AFE,1992,-556663.0
Net migration,Africa Eastern and Southern,AFE,1991,-511160.0
Net migration,Africa Eastern and Southern,AFE,1990,22815.0
Net migration,Africa Western and Central,AFW,2020,-99761.0
Net migration,Africa Western and Central,AFW,2019,-328552.0
Net migration,Africa Western and Central,AFW,2018,-255888.0
Net migration,Africa Western and Central,AFW,2017,-200823.0
Net migration,Africa Western and Central,AFW,2016,-167286.0
Net migration,Africa Western and Central,AFW,2015,-360393.0
Net migration,Africa Western and Central,AFW,2014,-280418.0
Net migration,Africa Western and Central,AFW,2013,-377305.0
Net migration,Africa Western and Central,AFW,2012,-435876.0
Net migration,Africa Western and Central,AFW,2011,-198802.0
Net migration,Africa Western and Central,AFW,2010,-264237.0
Net migration,Africa Western and Central,AFW,2009,-220606.0
Net migration,Africa Western and Central,AFW,2008,-247671.0
Net migration,Africa Western and Central,AFW,2007,-225365.0
Net migration,Africa Western and Central,AFW,2006,-223100.0
Net migration,Africa Western and Central,AFW,2005,-137920.0
Net migration,Africa Western and Central,AFW,2004,-41511.0
Net migration,Africa Western and Central,AFW,2003,-99836.0
Net migration,Africa Western and Central,AFW,2002,-39042.0
Net migration,Africa Western and Central,AFW,2001,-38737.0
Net migration,Africa Western and Central,AFW,2000,-22651.0
Net migration,Africa Western and Central,AFW,1999,-158730.0
Net migration,Africa Western and Central,AFW,1998,-17330.0
Net migration,Africa Western and Central,AFW,1997,56467.0
Net migration,Africa Western and Central,AFW,1996,-188064.0
Net migration,Africa Western and Central,AFW,1995,10350.0
Net migration,Africa Western and Central,AFW,1994,-198790.0
Net migration,Africa Western and Central,AFW,1993,-345858.0
Net migration,Africa Western and Central,AFW,1992,-72380.0
Net migration,Africa Western and Central,AFW,1991,-101888.0
Net migration,Africa Western and Central,AFW,1990,-529414.0
Net migration,Arab World,ARB,2020,-1585167.0
Net migration,Arab World,ARB,2019,139844.0
Net migration,Arab World,ARB,2018,511128.0
Net migration,Arab World,ARB,2017,13305.0
Net migration,Arab World,ARB,2016,3140.0
Net migration,Arab World,ARB,2015,-194516.0
Net migration,Arab World,ARB,2014,-184490.0
Net migration,Arab World,ARB,2013,340149.0
Net migration,Arab World,ARB,2012,-66311.0
Net migration,Arab World,ARB,2011,-864858.0
Net migration,Arab World,ARB,2010,39096.0
Net migration,Arab World,ARB,2009,1117576.0
Net migration,Arab World,ARB,2008,1470703.0
Net migration,Arab World,ARB,2007,1631375.0
Net migration,Arab World,ARB,2006,1327595.0
Net migration,Arab World,ARB,2005,820217.0
Net migration,Arab World,ARB,2004,10402.0
Net migration,Arab World,ARB,2003,-247339.0
Net migration,Arab World,ARB,2002,-87387.0
Net migration,Arab World,ARB,2001,-182158.0
Net migration,Arab World,ARB,2000,-4273.0
Net migration,Arab World,ARB,1999,-34533.0
Net migration,Arab World,ARB,1998,-23185.0
Net migration,Arab World,ARB,1997,17793.0
Net migration,Arab World,ARB,1996,-144006.0
Net migration,Arab World,ARB,1995,-106482.0
Net migration,Arab World,ARB,1994,-157334.0
Net migration,Arab World,ARB,1993,731021.0
Net migration,Arab World,ARB,1992,-263405.0
Net migration,Arab World,ARB,1991,-322443.0
Net migration,Arab World,ARB,1990,-2012275.0
Net migration,Caribbean small states,CSS,2020,2389.0
Net migration,Caribbean small states,CSS,2019,-53765.0
Net migration,Caribbean small states,CSS,2018,54518.0
Net migration,Caribbean small states,CSS,2017,-15824.0
Net migration,Caribbean small states,CSS,2016,-17915.0
Net migration,Caribbean small states,CSS,2015,-19122.0
Net migration,Caribbean small states,CSS,2014,-17545.0
Net migration,Caribbean small states,CSS,2013,-19814.0
Net migration,Caribbean small states,CSS,2012,-19619.0
Net migration,Caribbean small states,CSS,2011,-28184.0
Net migration,Caribbean small states,CSS,2010,-30222.0
Net migration,Caribbean small states,CSS,2009,-31939.0
Net migration,Caribbean small states,CSS,2008,-33690.0
Net migration,Caribbean small states,CSS,2007,-34155.0
Net migration,Caribbean small states,CSS,2006,-34649.0
Net migration,Caribbean small states,CSS,2005,-35732.0
Net migration,Caribbean small states,CSS,2004,-35485.0
Net migration,Caribbean small states,CSS,2003,-33189.0
Net migration,Caribbean small states,CSS,2002,-34708.0
Net migration,Caribbean small states,CSS,2001,-36347.0
Net migration,Caribbean small states,CSS,2000,-38012.0
Net migration,Caribbean small states,CSS,1999,-38675.0
Net migration,Caribbean small states,CSS,1998,-39628.0
Net migration,Caribbean small states,CSS,1997,-40516.0
Net migration,Caribbean small states,CSS,1996,-41711.0
Net migration,Caribbean small states,CSS,1995,-43158.0
Net migration,Caribbean small states,CSS,1994,-48142.0
Net migration,Caribbean small states,CSS,1993,-53969.0
Net migration,Caribbean small states,CSS,1992,-53577.0
Net migration,Caribbean small states,CSS,1991,-59294.0
Net migration,Caribbean small states,CSS,1990,-73598.0
Net migration,Central Europe and the Baltics,CEB,2020,-29918.0
Net migration,Central Europe and the Baltics,CEB,2019,-19843.0
Net migration,Central Europe and the Baltics,CEB,2018,-61261.0
Net migration,Central Europe and the Baltics,CEB,2017,-76183.0
Net migration,Central Europe and the Baltics,CEB,2016,-110911.0
Net migration,Central Europe and the Baltics,CEB,2015,-99535.0
Net migration,Central Europe and the Baltics,CEB,2014,-88917.0
Net migration,Central Europe and the Baltics,CEB,2013,-101267.0
Net migration,Central Europe and the Baltics,CEB,2012,-69859.0
Net migration,Central Europe and the Baltics,CEB,2011,-107546.0
Net migration,Central Europe and the Baltics,CEB,2010,-129981.0
Net migration,Central Europe and the Baltics,CEB,2009,-114334.0
Net migration,Central Europe and the Baltics,CEB,2008,-163098.0
Net migration,Central Europe and the Baltics,CEB,2007,-167129.0
Net migration,Central Europe and the Baltics,CEB,2006,-181600.0
Net migration,Central Europe and the Baltics,CEB,2005,-167658.0
Net migration,Central Europe and the Baltics,CEB,2004,-140237.0
Net migration,Central Europe and the Baltics,CEB,2003,-142746.0
Net migration,Central Europe and the Baltics,CEB,2002,-164421.0
Net migration,Central Europe and the Baltics,CEB,2001,-162378.0
Net migration,Central Europe and the Baltics,CEB,2000,123701.0
Net migration,Central Europe and the Baltics,CEB,1999,-202829.0
Net migration,Central Europe and the Baltics,CEB,1998,-226121.0
Net migration,Central Europe and the Baltics,CEB,1997,-227398.0
Net migration,Central Europe and the Baltics,CEB,1996,-211511.0
Net migration,Central Europe and the Baltics,CEB,1995,-229798.0
Net migration,Central Europe and the Baltics,CEB,1994,-147465.0
Net migration,Central Europe and the Baltics,CEB,1993,-146897.0
Net migration,Central Europe and the Baltics,CEB,1992,-226160.0
Net migration,Central Europe and the Baltics,CEB,1991,-164550.0
Net migration,Central Europe and the Baltics,CEB,1990,-132482.0
Net migration,Early-demographic dividend,EAR,2020,-2212227.0
Net migration,Early-demographic dividend,EAR,2019,-3253155.0
Net migration,Early-demographic dividend,EAR,2018,-3454072.0
Net migration,Early-demographic dividend,EAR,2017,-3441642.0
Net migration,Early-demographic dividend,EAR,2016,-3227808.0
Net migration,Early-demographic dividend,EAR,2015,-2549801.0
Net migration,Early-demographic dividend,EAR,2014,-2698481.0
Net migration,Early-demographic dividend,EAR,2013,-4169595.0
Net migration,Early-demographic dividend,EAR,2012,-3915894.0
Net migration,Early-demographic dividend,EAR,2011,-3572706.0
Net migration,Early-demographic dividend,EAR,2010,-2258697.0
Net migration,Early-demographic dividend,EAR,2009,-3210018.0
Net migration,Early-demographic dividend,EAR,2008,-4553615.0
Net migration,Early-demographic dividend,EAR,2007,-2778517.0
Net migration,Early-demographic dividend,EAR,2006,-2440877.0
Net migration,Early-demographic dividend,EAR,2005,-3118727.0
Net migration,Early-demographic dividend,EAR,2004,-2606431.0
Net migration,Early-demographic dividend,EAR,2003,-2773416.0
Net migration,Early-demographic dividend,EAR,2002,-3856742.0
Net migration,Early-demographic dividend,EAR,2001,-1659447.0
Net migration,Early-demographic dividend,EAR,2000,-1113011.0
Net migration,Early-demographic dividend,EAR,1999,-1809657.0
Net migration,Early-demographic dividend,EAR,1998,-1449431.0
Net migration,Early-demographic dividend,EAR,1997,-1065232.0
Net migration,Early-demographic dividend,EAR,1996,-37721.0
Net migration,Early-demographic dividend,EAR,1995,-1065946.0
Net migration,Early-demographic dividend,EAR,1994,-3820962.0
Net migration,Early-demographic dividend,EAR,1993,-2765836.0
Net migration,Early-demographic dividend,EAR,1992,-2341581.0
Net migration,Early-demographic dividend,EAR,1991,-319075.0
Net migration,Early-demographic dividend,EAR,1990,1283931.0
Net migration,East Asia & Pacific,EAS,2020,180870.0
Net migration,East Asia & Pacific,EAS,2019,232677.0
Net migration,East Asia & Pacific,EAS,2018,205151.0
Net migration,East Asia & Pacific,EAS,2017,414719.0
Net migration,East Asia & Pacific,EAS,2016,539479.0
Net migration,East Asia & Pacific,EAS,2015,522034.0
Net migration,East Asia & Pacific,EAS,2014,325445.0
Net migration,East Asia & Pacific,EAS,2013,448601.0
Net migration,East Asia & Pacific,EAS,2012,526680.0
Net migration,East Asia & Pacific,EAS,2011,465510.0
Net migration,East Asia & Pacific,EAS,2010,19252.0
Net migration,East Asia & Pacific,EAS,2009,-72566.0
Net migration,East Asia & Pacific,EAS,2008,-214278.0
Net migration,East Asia & Pacific,EAS,2007,-200845.0
Net migration,East Asia & Pacific,EAS,2006,-321151.0
Net migration,East Asia & Pacific,EAS,2005,-521185.0
Net migration,East Asia & Pacific,EAS,2004,-461359.0
Net migration,East Asia & Pacific,EAS,2003,-552288.0
Net migration,East Asia & Pacific,EAS,2002,-437152.0
Net migration,East Asia & Pacific,EAS,2001,-467909.0
Net migration,East Asia & Pacific,EAS,2000,-512945.0
Net migration,East Asia & Pacific,EAS,1999,-299757.0
Net migration,East Asia & Pacific,EAS,1998,-85117.0
Net migration,East Asia & Pacific,EAS,1997,-216329.0
Net migration,East Asia & Pacific,EAS,1996,-246490.0
Net migration,East Asia & Pacific,EAS,1995,-667831.0
Net migration,East Asia & Pacific,EAS,1994,-567071.0
Net migration,East Asia & Pacific,EAS,1993,-787093.0
Net migration,East Asia & Pacific,EAS,1992,-849505.0
Net migration,East Asia & Pacific,EAS,1991,-928972.0
Net migration,East Asia & Pacific,EAS,1990,78472.0
Net migration,East Asia & Pacific (excluding high income),EAP,2020,-114687.0
Net migration,East Asia & Pacific (excluding high income),EAP,2019,-470333.0
Net migration,East Asia & Pacific (excluding high income),EAP,2018,-456693.0
Net migration,East Asia & Pacific (excluding high income),EAP,2017,-220848.0
Net migration,East Asia & Pacific (excluding high income),EAP,2016,-77693.0
Net migration,East Asia & Pacific (excluding high income),EAP,2015,-234948.0
Net migration,East Asia & Pacific (excluding high income),EAP,2014,-472530.0
Net migration,East Asia & Pacific (excluding high income),EAP,2013,-338455.0
Net migration,East Asia & Pacific (excluding high income),EAP,2012,-260017.0
Net migration,East Asia & Pacific (excluding high income),EAP,2011,-268725.0
Net migration,East Asia & Pacific (excluding high income),EAP,2010,-487107.0
Net migration,East Asia & Pacific (excluding high income),EAP,2009,-644780.0
Net migration,East Asia & Pacific (excluding high income),EAP,2008,-801697.0
Net migration,East Asia & Pacific (excluding high income),EAP,2007,-753861.0
Net migration,East Asia & Pacific (excluding high income),EAP,2006,-822377.0
Net migration,East Asia & Pacific (excluding high income),EAP,2005,-882390.0
Net migration,East Asia & Pacific (excluding high income),EAP,2004,-739093.0
Net migration,East Asia & Pacific (excluding high income),EAP,2003,-852644.0
Net migration,East Asia & Pacific (excluding high income),EAP,2002,-743578.0
