País,Código de País,Código de ubicación,Año,Numero de Migrantes (Destino),Numero de Migrantes (Origen)
Burundi,BY,108,2000,51.4,48.8
Comoros,COM,174,2000,52.8,47.6
Djibouti,DJI,262,2000,47.3,42.6
Eritrea,ERI,232,2000,47.1,50.1
Ethiopia,ETH,231,2000,47.3,46.3
Kenya,KEN,404,2000,50.1,51.4
Madagascar,MDG,450,2000,43.6,58.1
Malawi,MWI,454,2000,52.1,40.8
Mauritius,MUS,480,2000,63.3,55.2
Mayotte,MYT,175,2000,48.2,52.1
Mozambique,MOZ,508,2000,47.3,39.3
Réunion,REU,638,2000,48.1,55.2
Rwanda,RWA,646,2000,49.4,50.4
Seychelles,SYC,690,2000,41.6,54.5
Somalia,SOM,706,2000,47.1,48.5
South Sudan,SSD,728,2000,0.0,44.5
Uganda,UGS,800,2000,50.2,50.9
United Republic of Tanzania,TZA,834,2000,49.3,49.6
Zambia,ZMB,894,2000,49.1,51.9
Zimbabwe,ZWE,716,2000,43.0,48.4
Angola,AGO,24,2000,49.3,49.9
Cameroon,CMR,120,2000,45.4,48.2
Central African Republic,CAF,140,2000,46.9,50.4
Chad,TCD,148,2000,46.1,47.8
Congo,COG,178,2000,49.9,47.8
Democratic Republic of the Congo,COD,180,2000,51.0,50.5
Equatorial Guinea,GNQ,226,2000,47.0,51.8
Gabon,GAB,266,2000,42.6,50.2
Sao Tome and Principe,STP,678,2000,49.3,52.8
Algeria,DZA,12,2000,45.2,44.1
Egypt,EGY,818,2000,46.8,35.3
Libya,LBY,434,2000,35.0,46.7
Morocco,MAR,504,2000,48.6,45.4
Sudan,SND,729,2000,49.7,43.2
Tunisia,TUN,788,2000,49.1,42.1
Western Sahara,ESH,732,2000,44.1,45.2
Botswana,BWA,72,2000,41.5,39.5
Eswatini,SWZ,748,2000,47.4,43.9
Lesotho,LSO,426,2000,45.9,44.3
Namibia,NAM,516,2000,46.0,49.7
South Africa,ZAF,710,2000,40.3,51.0
Benin,BEN,204,2000,46.4,46.7
Burkina Faso,BFA,854,2000,51.8,44.0
Cabo Verde,CPV,132,2000,47.8,52.5
Côte d'Ivoire,CIV,384,2000,44.6,49.7
Gambia,GMB,270,2000,46.8,42.2
Ghana,GHA,288,2000,49.2,49.3
Guinea,GIN,324,2000,50.2,43.8
Guinea-Bissau,GNB,624,2000,50.3,45.3
Liberia,LBR,430,2000,45.9,50.4
Mali,MLI,466,2000,48.4,44.3
Mauritania,MRT,478,2000,45.7,38.9
Niger,NER,562,2000,52.4,38.1
