,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,International Migrant Stock 2020: Origin,,,,,,,,,,,,,,,,,,,,,
,,,,"Table 1: International migrant stock at mid-year by sex and by region, country or area of origin, 1990-2020",,,,,,,,,,,,,,,,,,,,,
,,,,POP/DB/MIG/Stock/Rev.2020 ,,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations Department of Economic and Social Affairs, Population Division (2020). International Migrant Stock 2020.",,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2020 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"International migrant stock at mid-year, both sexes combined
",,,,,,,"International migrant stock at mid-year, males",,,,,,,"International migrant stock at mid-year, females",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Index,"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020,1990,1995,2000,2005,2010,2015,2020,1990,1995,2000,2005,2010,2015,2020
1,WORLD,,900,,152 986 157,161 289 976,173 230 585,191 446 828,220 983 187,247 958 644,280 598 105,77 563 467,81 581 501,87 719 833,97 663 081,113 940 881,128 238 058,145 655 844,75 422 690,79 708 475,85 510 752,93 783 747,107 042 306,119 720 586,134 942 261
2,  Sub-Saharan Africa,,947,,15 334 807,16 488 973,15 638 014,17 274 985,19 942 724,24 197 211,28 284 538,8 136 844,8 677 806,8 246 575,9 227 058,10 531 120,12 578 348,14 732 802,7 197 963,7 811 167,7 391 439,8 047 927,9 411 604,11 618 863,13 551 736
3,  Northern Africa and Western Asia,,1833,,16 365 218,18 069 437,19 437 054,21 867 791,25 313 711,32 606 047,37 563 820,8 830 013,9 829 261,10 736 407,12 097 241,14 249 463,18 177 303,20 941 050,7 535 205,8 240 176,8 700 647,9 770 550,11 064 248,14 428 744,16 622 770
4,  Central and Southern Asia,,921,,31 104 020,29 069 983,30 897 694,33 347 690,41 082 388,46 481 130,51 229 549,17 054 672,16 042 463,17 179 372,18 895 884,24 444 167,27 971 106,31 211 577,14 049 348,13 027 520,13 718 322,14 451 806,16 638 221,18 510 024,20 017 972
5,  Eastern and South-Eastern Asia,,1832,,14 774 419,17 860 923,21 440 854,25 556 983,30 977 206,35 205 590,38 400 740,7 414 751,8 861 759,10 500 432,12 487 051,15 130 964,17 150 433,18 801 912,7 359 668,8 999 164,10 940 422,13 069 932,15 846 242,18 055 157,19 598 828
6,  Latin America and the Caribbean,,1830,,15 273 399,19 669 704,24 628 700,29 338 206,34 637 650,36 206 000,42 890 481,7 544 689,9 726 163,12 182 539,14 495 367,16 857 618,17 582 139,20 697 275,7 728 710,9 943 541,12 446 161,14 842 839,17 780 032,18 623 861,22 193 206
7,  Oceania (excluding Australia and New Zealand),,1835,, 272 517, 313 061, 375 176, 407 138, 441 903, 495 220, 565 281, 133 623, 152 358, 183 319, 198 892, 214 866, 240 815, 273 803, 138 894, 160 703, 191 857, 208 246, 227 037, 254 405, 291 478
8,  Australia and New Zealand,,927,, 689 030, 758 234, 871 660, 984 280,1 149 265,1 256 202,1 404 924, 335 351, 366 709, 421 127, 481 926, 573 939, 622 696, 693 842, 353 679, 391 525, 450 533, 502 354, 575 326, 633 506, 711 082
9,  Europe and Northern America,,1829,,50 532 413,51 582 164,52 877 703,54 849 090,58 681 104,60 592 402,67 601 621,23 704 534,24 148 758,24 676 104,25 682 798,27 337 252,28 229 706,31 770 385,26 827 879,27 433 406,28 201 599,29 166 292,31 343 852,32 362 696,35 831 236
10,  Developed regions,,901,,51 826 246,52 993 691,54 458 296,56 551 836,60 587 161,62 613 012,69 815 370,24 338 984,24 834 922,25 438 034,26 505 508,28 263 791,29 203 683,32 827 157,27 487 262,28 158 769,29 020 262,30 046 328,32 323 370,33 409 329,36 988 213
11,  Less developed regions,,902,,92 519 577,100 818 788,111 708 559,127 074 327,151 638 790,174 426 790,198 125 584,48 815 493,52 970 355,58 687 841,67 060 709,81 075 598,93 348 863,106 295 489,43 704 084,47 848 433,53 020 718,60 013 618,70 563 192,81 077 927,91 830 095
12," Less developed regions, excluding least developed countries",,934,,62 696 205,72 701 450,83 646 070,97 124 428,116 141 091,132 944 110,150 520 987,32 572 508,37 664 396,43 328 634,50 504 229,61 260 381,70 333 340,79 492 160,30 123 697,35 037 054,40 317 436,46 620 199,54 880 710,62 610 770,71 028 827
13," Less developed regions, excluding China",,948,,87 652 367,95 081 133,105 043 210,118 876 449,141 938 473,163 095 388,186 511 434,46 303 670,50 066 462,55 378 675,63 084 782,76 484 858,88 028 326,100 946 274,41 348 697,45 014 671,49 664 535,55 791 667,65 453 615,75 067 062,85 565 160
14,  Least developed countries,,941,,29 823 372,28 117 338,28 062 489,29 949 899,35 497 699,41 482 680,47 604 597,16 242 985,15 305 959,15 359 207,16 556 480,19 815 217,23 015 523,26 803 329,13 580 387,12 811 379,12 703 282,13 393 419,15 682 482,18 467 157,20 801 268
15,  Land-locked Developing Countries (LLDC),,1636,,25 086 015,23 874 777,23 134 479,24 288 062,27 740 905,31 336 289,35 277 768,12 878 639,12 222 604,11 981 487,12 609 177,14 227 283,16 089 640,18 147 434,12 207 376,11 652 173,11 152 992,11 678 885,13 513 622,15 246 649,17 130 334
16,  Small island developing States (SIDS),,1637,,5 452 503,6 572 361,7 793 822,8 501 316,9 401 155,10 467 162,11 559 408,2 605 273,3 085 104,3 608 507,3 940 542,4 285 399,4 903 522,5 417 850,2 847 230,3 487 257,4 185 315,4 560 774,5 115 756,5 563 640,6 141 558
17,  High-income countries,,1503,,34 008 977,35 677 967,38 024 485,40 882 214,45 649 196,47 356 719,52 808 019,16 390 698,17 139 953,18 150 941,19 612 464,21 784 350,22 710 503,25 556 460,17 618 279,18 538 014,19 873 544,21 269 750,23 864 846,24 646 216,27 251 559
18,  Middle-income countries,,1517,,88 958 999,98 929 758,109 879 954,123 912 679,144 581 899,157 981 964,177 395 834,45 289 740,50 350 945,56 045 764,63 532 741,75 477 248,82 602 967,92 895 832,43 669 259,48 578 813,53 834 190,60 379 938,69 104 651,75 378 997,84 500 002
19, Upper-middle-income countries,,1502,,46 251 718,53 059 271,59 585 818,65 735 241,74 175 415,77 576 140,87 648 518,22 500 336,25 869 947,29 121 527,32 157 068,36 086 584,37 485 261,42 001 984,23 751 382,27 189 324,30 464 291,33 578 173,38 088 831,40 090 879,45 646 534
20, Lower-middle-income countries,,1501,,42 707 281,45 870 487,50 294 136,58 177 438,70 406 484,80 405 824,89 747 316,22 789 404,24 480 998,26 924 237,31 375 673,39 390 664,45 117 706,50 893 848,19 917 877,21 389 489,23 369 899,26 801 765,31 015 820,35 288 118,38 853 468
21,  Low-income countries,,1500,,21 142 448,18 959 483,18 002 895,18 605 623,21 718 616,31 399 947,37 419 672,11 348 393,10 185 505,9 794 758,10 305 271,11 939 008,17 088 744,20 512 220,9 794 055,8 773 978,8 208 137,8 300 352,9 779 608,14 311 203,16 907 452
22, AFRICA,,903,,20 621 464,22 341 394,22 080 003,25 241 406,29 193 852,35 111 959,40 567 163,11 215 846,12 073 478,11 985 328,13 778 387,15 998 855,18 809 167,21 729 832,9 405 618,10 267 916,10 094 675,11 463 019,13 194 997,16 302 792,18 837 331
23,  Eastern Africa,,910,,7 784 743,7 734 774,6 079 992,6 192 747,7 524 192,9 824 290,12 027 289,4 056 986,4 002 246,3 167 304,3 320 996,3 932 812,5 021 946,6 136 440,3 727 757,3 732 528,2 912 688,2 871 751,3 591 380,4 802 344,5 890 849
24,   Burundi,,108,, 337 100, 540 558, 758 673, 619 916, 284 078, 459 979, 551 105, 173 892, 277 424, 388 445, 386 645, 143 736, 227 726, 274 913, 163 208, 263 134, 370 228, 233 271, 140 342, 232 253, 276 192
25,   Comoros,,174,, 40 079, 51 290, 70 502, 96 143, 109 125, 121 749, 150 823, 22 060, 27 869, 36 958, 49 839, 54 190, 59 176, 73 002, 18 019, 23 421, 33 544, 46 304, 54 935, 62 573, 77 821
26,   Djibouti,,262,, 5 308, 6 964, 9 055, 11 987, 13 797, 16 969, 18 365, 2 890, 3 904, 5 201, 6 293, 7 178, 8 659, 9 293, 2 418, 3 060, 3 854, 5 694, 6 619, 8 310, 9 072
27,   Eritrea,,232,, 170 603, 375 257, 511 506, 299 311, 328 366, 624 757, 802 822, 89 618, 197 413, 255 453, 153 062, 172 456, 326 403, 422 881, 80 985, 177 844, 256 053, 146 249, 155 910, 298 354, 379 941
28,   Ethiopia,,231,,1 689 941, 816 420, 445 886, 524 038, 680 290, 842 496, 946 129, 856 294, 413 014, 239 365, 284 011, 369 043, 451 972, 510 262, 833 647, 403 406, 206 521, 240 027, 311 247, 390 524, 435 867
29,   Kenya,,404,, 250 332, 277 647, 317 434, 362 031, 442 632, 480 647, 535 348, 123 044, 135 350, 154 208, 173 569, 213 979, 227 217, 252 759, 127 288, 142 297, 163 226, 188 462, 228 653, 253 430, 282 589
30,   Madagascar,,450,, 59 415, 67 324, 77 089, 148 805, 160 819, 175 868, 193 526, 25 591, 28 611, 32 318, 64 403, 64 593, 68 219, 74 976, 33 824, 38 713, 44 771, 84 402, 96 226, 107 649, 118 550
31,   Malawi,,454,, 143 436, 150 825, 186 229, 222 023, 260 531, 297 471, 311 052, 84 442, 88 872, 110 217, 129 386, 151 191, 172 322, 185 426, 58 994, 61 953, 76 012, 92 637, 109 340, 125 149, 125 626
32,   Mauritius*,,480,, 110 707, 114 073, 119 003, 130 649, 148 186, 165 869, 182 973, 51 464, 51 947, 53 306, 59 779, 67 567, 74 559, 82 790, 59 243, 62 126, 65 697, 70 870, 80 619, 91 310, 100 183
33,   Mayotte*,,175,, 1 835, 3 937, 6 214, 6 468, 6 342, 6 545, 6 767,  986, 1 948, 2 976, 3 137, 3 113, 3 199, 3 305,  849, 1 989, 3 238, 3 331, 3 229, 3 346, 3 462
34,   Mozambique,,508,,2 222 354, 812 685, 644 421, 662 951, 797 808, 596 949, 640 160,1 202 046, 485 263, 391 190, 410 270, 512 836, 348 100, 385 940,1 020 308, 327 422, 253 231, 252 681, 284 972, 248 849, 254 220
35,   Réunion*,,638,, 3 087, 2 623, 2 360, 2 556, 2 749, 2 907, 3 064, 1 571, 1 257, 1 057, 1 068, 1 083, 1 087, 1 189, 1 516, 1 366, 1 303, 1 488, 1 666, 1 820, 1 875
36,   Rwanda,,646,, 547 717,2 060 363, 318 198, 289 100, 334 244, 503 667, 492 489, 276 832,1 021 474, 157 926, 142 456, 161 713, 247 155, 241 187, 270 885,1 038 889, 160 272, 146 644, 172 531, 256 512, 251 302
37,   Seychelles,,690,, 35 633, 27 798, 19 244, 23 487, 25 932, 27 483, 29 258, 17 221, 13 271, 8 747, 10 171, 11 169, 11 783, 12 624, 18 412, 14 527, 10 497, 13 316, 14 763, 15 700, 16 634
38,   Somalia,,706,, 848 055, 968 956,1 006 128,1 060 953,1 595 328,2 008 490,2 034 221, 448 851, 507 818, 517 690, 568 870, 839 805,1 040 985,1 064 786, 399 204, 461 138, 488 438, 492 083, 755 523, 967 505, 969 435
39,   South Sudan,,728,, 514 943, 438 044, 342 628, 228 537, 402 616,1 060 678,2 575 870, 266 794, 233 701, 190 326, 124 611, 209 902, 543 822,1 271 104, 248 149, 204 343, 152 302, 103 926, 192 714, 516 856,1 304 766
40,   Uganda,,800,, 311 591, 361 969, 517 776, 586 602, 731 768, 786 229, 781 440, 157 865, 177 878, 254 464, 291 881, 349 440, 375 951, 372 735, 153 726, 184 091, 263 312, 294 721, 382 328, 410 278, 408 705
41,   United Republic of Tanzania*,,834,, 203 043, 229 151, 215 460, 234 918, 262 172, 294 102, 327 863, 107 172, 119 442, 108 653, 118 644, 131 509, 145 322, 162 475, 95 871, 109 709, 106 807, 116 274, 130 663, 148 780, 165 388
42,   Zambia,,894,, 85 201, 140 895, 160 201, 181 499, 182 766, 184 371, 200 700, 42 598, 67 736, 77 129, 86 976, 86 152, 86 165, 93 621, 42 603, 73 159, 83 072, 94 523, 96 614, 98 206, 107 079
43,   Zimbabwe,,716,, 204 363, 287 995, 351 985, 500 773, 754 643,1 167 064,1 243 314, 105 755, 148 054, 181 675, 255 925, 382 157, 602 124, 641 172, 98 608, 139 941, 170 310, 244 848, 372 486, 564 940, 602 142
44,  Middle Africa,,911,,1 922 243,1 857 602,2 439 360,2 726 556,3 007 543,3 816 990,4 420 662, 958 727, 933 704,1 224 847,1 386 182,1 495 622,1 910 761,2 223 566, 963 516, 923 898,1 214 513,1 340 374,1 511 921,1 906 229,2 197 096
45,   Angola,,24,, 824 886, 688 581, 913 206, 716 766, 651 383, 618 288, 668 066, 405 465, 344 763, 457 876, 353 459, 322 362, 305 926, 334 386, 419 421, 343 818, 455 330, 363 307, 329 021, 312 362, 333 680
46,   Cameroon,,120,, 115 835, 138 936, 164 296, 221 232, 278 898, 348 974, 441 015, 60 058, 71 875, 85 099, 110 699, 136 330, 171 870, 219 379, 55 777, 67 061, 79 197, 110 533, 142 568, 177 104, 221 636
47,   Central African Republic,,140,, 46 354, 49 205, 55 416, 131 410, 245 933, 686 224, 816 668, 24 202, 25 035, 27 493, 61 515, 120 235, 348 076, 409 486, 22 152, 24 170, 27 923, 69 895, 125 698, 338 148, 407 182
48,   Chad,,148,, 336 798, 223 096, 206 052, 210 661, 202 423, 191 269, 222 303, 168 101, 112 966, 107 494, 113 818, 112 308, 104 493, 119 894, 168 697, 110 130, 98 558, 96 843, 90 115, 86 776, 102 409
49,   Congo,,178,, 96 370, 115 677, 135 235, 172 610, 178 111, 204 829, 223 767, 51 515, 60 811, 70 562, 86 625, 91 205, 102 286, 113 453, 44 855, 54 866, 64 673, 85 985, 86 906, 102 543, 110 314
50,   Democratic Republic of the Congo,,180,, 436 513, 559 824, 862 039,1 130 872,1 298 544,1 572 222,1 832 069, 217 210, 278 309, 426 558, 591 870, 640 699, 778 269, 916 179, 219 303, 281 515, 435 481, 539 002, 657 845, 793 953, 915 890
51,   Equatorial Guinea,,226,, 36 175, 46 412, 59 930, 71 789, 84 390, 116 947, 128 774, 17 708, 22 471, 28 899, 33 811, 40 109, 62 959, 68 753, 18 467, 23 941, 31 031, 37 978, 44 281, 53 988, 60 021
52,   Gabon,,266,, 15 347, 16 610, 18 041, 41 357, 36 933, 43 075, 48 392, 7 732, 8 323, 8 985, 20 471, 18 065, 20 636, 23 205, 7 615, 8 287, 9 056, 20 886, 18 868, 22 439, 25 187
53,   Sao Tome and Principe,,678,, 13 965, 19 261, 25 145, 29 859, 30 928, 35 162, 39 608, 6 736, 9 151, 11 881, 13 914, 14 309, 16 246, 18 831, 7 229, 10 110, 13 264, 15 945, 16 619, 18 916, 20 777
54,  Northern Africa,,912,,5 286 657,5 852 421,6 441 989,7 966 421,9 251 128,10 914 748,12 282 625,3 079 002,3 395 672,3 738 753,4 551 329,5 467 735,6 230 819,6 997 030,2 207 655,2 456 749,2 703 236,3 415 092,3 783 393,4 683 929,5 285 595
55,   Algeria,,12,, 921 665, 979 641,1 037 985,1 599 647,1 655 264,1 836 502,2 022 337, 521 302, 550 210, 580 303, 835 802, 913 853, 985 595,1 085 651, 400 363, 429 431, 457 682, 763 845, 741 411, 850 907, 936 686
56,   Egypt,,818,,1 321 915,1 492 004,1 708 296,1 807 941,2 586 643,3 151 069,3 610 461, 822 788, 950 652,1 105 517,1 184 398,1 747 685,2 041 623,2 341 886, 499 127, 541 352, 602 779, 623 543, 838 958,1 109 446,1 268 575
57,   Libya,,434,, 76 239, 77 398, 80 014, 100 248, 127 399, 152 544, 185 518, 40 081, 40 775, 42 647, 53 242, 67 086, 81 637, 101 126, 36 158, 36 623, 37 367, 47 006, 60 313, 70 907, 84 392
58,   Morocco,,504,,1 748 116,1 883 924,2 077 010,2 470 656,2 860 702,2 971 770,3 262 222, 984 599,1 040 375,1 134 308,1 367 790,1 580 278,1 575 252,1 707 428, 763 517, 843 549, 942 702,1 102 866,1 280 424,1 396 518,1 554 794
59,   Sudan,,729,, 584 935, 775 375, 885 660,1 277 632,1 235 193,1 842 602,2 104 887, 336 126, 439 826, 502 757, 708 617, 707 467,1 013 988,1 155 684, 248 809, 335 549, 382 903, 569 015, 527 726, 828 614, 949 203
60,   Tunisia,,788,, 465 549, 476 933, 486 964, 579 009, 615 732, 774 376, 902 268, 281 451, 281 972, 282 149, 329 476, 361 434, 434 592, 502 404, 184 098, 194 961, 204 815, 249 533, 254 298, 339 784, 399 864
61,   Western Sahara,,732,, 168 238, 167 146, 166 060, 131 288, 170 195, 185 885, 194 932, 92 655, 91 862, 91 072, 72 004, 89 932, 98 132, 102 851, 75 583, 75 284, 74 988, 59 284, 80 263, 87 753, 92 081
