Region,Location code,Year,Numero de Migrantes,Género
WORLD,900,1990,77563467,Hombres
  Sub-Saharan Africa,947,1990,8136844,Hombres
  Northern Africa and Western Asia,1833,1990,8830013,Hombres
  Central and Southern Asia,921,1990,17054672,Hombres
  Eastern and South-Eastern Asia,1832,1990,7414751,Hombres
  Latin America and the Caribbean,1830,1990,7544689,Hombres
  Oceania (excluding Australia and New Zealand),1835,1990,133623,Hombres
  Australia and New Zealand,927,1990,335351,Hombres
  Europe and Northern America,1829,1990,23704534,Hombres
  Developed regions,901,1990,24338984,Hombres
  Less developed regions,902,1990,48815493,Hombres
" Less developed regions, excluding least developed countries",934,1990,32572508,Hombres
" Less developed regions, excluding China",948,1990,46303670,Hombres
  Least developed countries,941,1990,16242985,Hombres
  Land-locked Developing Countries (LLDC),1636,1990,12878639,Hombres
  Small island developing States (SIDS),1637,1990,2605273,Hombres
  High-income countries,1503,1990,16390698,Hombres
  Middle-income countries,1517,1990,45289740,Hombres
 Upper-middle-income countries,1502,1990,22500336,Hombres
 Lower-middle-income countries,1501,1990,22789404,Hombres
  Low-income countries,1500,1990,11348393,Hombres
 AFRICA,903,1990,11215846,Hombres
  Eastern Africa,910,1990,4056986,Hombres
   Burundi,108,1990,173892,Hombres
   Comoros,174,1990,22060,Hombres
   Djibouti,262,1990,2890,Hombres
   Eritrea,232,1990,89618,Hombres
   Ethiopia,231,1990,856294,Hombres
   Kenya,404,1990,123044,Hombres
   Madagascar,450,1990,25591,Hombres
   Malawi,454,1990,84442,Hombres
   Mauritius*,480,1990,51464,Hombres
   Mayotte*,175,1990,986,Hombres
   Mozambique,508,1990,1202046,Hombres
   Réunion*,638,1990,1571,Hombres
   Rwanda,646,1990,276832,Hombres
   Seychelles,690,1990,17221,Hombres
   Somalia,706,1990,448851,Hombres
   South Sudan,728,1990,266794,Hombres
   Uganda,800,1990,157865,Hombres
   United Republic of Tanzania*,834,1990,107172,Hombres
   Zambia,894,1990,42598,Hombres
   Zimbabwe,716,1990,105755,Hombres
  Middle Africa,911,1990,958727,Hombres
   Angola,24,1990,405465,Hombres
   Cameroon,120,1990,60058,Hombres
   Central African Republic,140,1990,24202,Hombres
   Chad,148,1990,168101,Hombres
   Congo,178,1990,51515,Hombres
   Democratic Republic of the Congo,180,1990,217210,Hombres
   Equatorial Guinea,226,1990,17708,Hombres
   Gabon,266,1990,7732,Hombres
   Sao Tome and Principe,678,1990,6736,Hombres
  Northern Africa,912,1990,3079002,Hombres
   Algeria,12,1990,521302,Hombres
   Egypt,818,1990,822788,Hombres
   Libya,434,1990,40081,Hombres
   Morocco,504,1990,984599,Hombres
   Sudan,729,1990,336126,Hombres
   Tunisia,788,1990,281451,Hombres
   Western Sahara,732,1990,92655,Hombres
  Southern Africa,913,1990,350233,Hombres
   Botswana,72,1990,19233,Hombres
   Eswatini,748,1990,25589,Hombres
   Lesotho,426,1990,145910,Hombres
   Namibia,516,1990,9360,Hombres
   South Africa,710,1990,150141,Hombres
  Western Africa,914,1990,2770898,Hombres
   Benin,204,1990,127252,Hombres
   Burkina Faso,854,1990,573295,Hombres
   Cabo Verde,132,1990,42681,Hombres
   Côte d'Ivoire,384,1990,185629,Hombres
   Gambia,270,1990,20808,Hombres
   Ghana,288,1990,187375,Hombres
   Guinea,324,1990,201530,Hombres
   Guinea-Bissau,624,1990,27429,Hombres
   Liberia,430,1990,260639,Hombres
   Mali,466,1990,360541,Hombres
   Mauritania,478,1990,75167,Hombres
   Niger,562,1990,94786,Hombres
   Nigeria,566,1990,255357,Hombres
   Saint Helena*,654,1990,386,Hombres
   Senegal,686,1990,230817,Hombres
   Sierra Leone,694,1990,31967,Hombres
   Togo,768,1990,95239,Hombres
 ASIA,935,1990,30220434,Hombres
  Central Asia,5500,1990,2757747,Hombres
   Kazakhstan,398,1990,1427481,Hombres
   Kyrgyzstan,417,1990,252637,Hombres
   Tajikistan,762,1990,264425,Hombres
   Turkmenistan,795,1990,127429,Hombres
   Uzbekistan,860,1990,685775,Hombres
  Eastern Asia,906,1990,3588473,Hombres
   China*,156,1990,2197565,Hombres
"   China, Hong Kong SAR*",344,1990,270896,Hombres
"   China, Macao SAR*",446,1990,43362,Hombres
"   China, Taiwan Province of China*",158,1990,0,Hombres
   Dem. People's Republic of Korea,408,1990,19056,Hombres
   Japan,392,1990,299099,Hombres
   Mongolia,496,1990,11762,Hombres
   Republic of Korea,410,1990,746733,Hombres
  South-Eastern Asia,920,1990,3826278,Hombres
   Brunei Darussalam,96,1990,15605,Hombres
   Cambodia,116,1990,174749,Hombres
   Indonesia,360,1990,948258,Hombres
   Lao People's Democratic Republic,418,1990,237312,Hombres
   Malaysia*,458,1990,275352,Hombres
   Myanmar,104,1990,376108,Hombres
   Philippines,608,1990,826634,Hombres
   Singapore,702,1990,74549,Hombres
   Thailand,764,1990,121071,Hombres
   Timor-Leste,626,1990,5921,Hombres
   Viet Nam,704,1990,770719,Hombres
  Southern Asia,5501,1990,14296925,Hombres
   Afghanistan,4,1990,4133232,Hombres
   Bangladesh,50,1990,3162454,Hombres
   Bhutan,64,1990,13921,Hombres
   India,356,1990,3806446,Hombres
   Iran (Islamic Republic of),364,1990,362151,Hombres
   Maldives,462,1990,1697,Hombres
   Nepal,524,1990,389292,Hombres
   Pakistan,586,1990,1969314,Hombres
   Sri Lanka,144,1990,458418,Hombres
  Western Asia,922,1990,5751011,Hombres
   Armenia,51,1990,436813,Hombres
   Azerbaijan*,31,1990,767905,Hombres
   Bahrain,48,1990,6118,Hombres
   Cyprus*,196,1990,90729,Hombres
   Georgia*,268,1990,446500,Hombres
   Iraq,368,1990,343128,Hombres
   Israel,376,1990,138265,Hombres
   Jordan,400,1990,187186,Hombres
   Kuwait,414,1990,45219,Hombres
   Lebanon,422,1990,291678,Hombres
   Oman,512,1990,6431,Hombres
   Qatar,634,1990,6018,Hombres
   Saudi Arabia,682,1990,57684,Hombres
   State of Palestine*,275,1990,888096,Hombres
   Syrian Arab Republic,760,1990,354582,Hombres
   Turkey,792,1990,1349675,Hombres
   United Arab Emirates,784,1990,44671,Hombres
   Yemen,887,1990,290313,Hombres
 EUROPE,908,1990,22438898,Hombres
  Eastern Europe,923,1990,11228730,Hombres
   Belarus,112,1990,815547,Hombres
   Bulgaria,100,1990,300350,Hombres
   Czechia,203,1990,272425,Hombres
   Hungary,348,1990,196559,Hombres
   Poland,616,1990,762917,Hombres
   Republic of Moldova*,498,1990,290609,Hombres
   Romania,642,1990,376790,Hombres
   Russian Federation,643,1990,5512948,Hombres
   Slovakia,703,1990,65915,Hombres
