Region,Notes,Location code,Type of data,Year,Tasa de Cambio Anual,Género
   Burundi,0,108,B R,1990-1995,-5.4,Combinado
   Comoros,0,174,B,1990-1995,-0.2,Combinado
   Djibouti,0,262,B R,1990-1995,-4.1,Combinado
   Eritrea,0,232,I R,1990-1995,0.9,Combinado
   Ethiopia,0,231,B R,1990-1995,-7.2,Combinado
   Kenya,0,404,B R,1990-1995,14.6,Combinado
   Madagascar,0,450,C R,1990-1995,-2.4,Combinado
   Malawi,0,454,B R,1990-1995,-30.8,Combinado
   Mauritius*,0,480,C,1990-1995,14.6,Combinado
   Mayotte*,1.0,175,B R,1990-1995,10.9,Combinado
   Mozambique,0,508,B R,1990-1995,6.4,Combinado
   Réunion*,2.0,638,B,1990-1995,6.0,Combinado
   Rwanda,0,646,B R,1990-1995,6.0,Combinado
   Seychelles,0,690,B,1990-1995,6.5,Combinado
   Somalia,0,706,I R,1990-1995,-64.0,Combinado
   South Sudan,0,728,B R,1990-1995,0.0,Combinado
   Uganda,0,800,B R,1990-1995,2.2,Combinado
   United Republic of Tanzania*,0,834,B R,1990-1995,13.1,Combinado
   Zambia,0,894,B R,1990-1995,-2.7,Combinado
   Zimbabwe,0,716,B R,1990-1995,-7.7,Combinado
   Angola,0,24,B R,1990-1995,3.4,Combinado
   Cameroon,0,120,B R,1990-1995,-1.7,Combinado
   Central African Republic,0,140,C R,1990-1995,7.9,Combinado
   Chad,0,148,B R,1990-1995,3.7,Combinado
   Congo,0,178,B R,1990-1995,7.9,Combinado
   Democratic Republic of the Congo,0,180,B R,1990-1995,17.6,Combinado
   Equatorial Guinea,0,226,C,1990-1995,5.6,Combinado
   Gabon,0,266,C R,1990-1995,5.8,Combinado
   Sao Tome and Principe,0,678,C,1990-1995,-2.5,Combinado
   Algeria,0,12,B R,1990-1995,-0.9,Combinado
   Egypt,0,818,B R,1990-1995,-0.8,Combinado
   Libya,0,434,C R,1990-1995,2.1,Combinado
   Morocco,0,504,C R,1990-1995,-1.7,Combinado
   Sudan,3.0,729,B R,1990-1995,-5.7,Combinado
   Tunisia,0,788,C R,1990-1995,-0.1,Combinado
   Western Sahara,0,732,I,1990-1995,2.1,Combinado
   Botswana,0,72,B R,1990-1995,7.6,Combinado
   Eswatini,0,748,B R,1990-1995,-15.2,Combinado
   Lesotho,0,426,C R,1990-1995,-2.7,Combinado
   Namibia,0,516,B R,1990-1995,-0.9,Combinado
