Pais,Crecimiento_PIB,Tasa_desempleo,Inflacion_PIB,Muertes_Conflicto,Control_Corrupcion,Esperanza_vida
Argentina,-9.94323513446069,11.46,40.0768830264559,0.0,49.038459777832,75.892
Australia,-0.0508853360838941,6.46,1.73972809592115,0.0,93.2692337036133,83.2
Brazil,-3.2767587964736,13.93,6.47249960755747,0.0,39.4230766296387,74.009
China,2.23863835629443,5.0,0.492493696910714,0.0,54.3269233703613,78.077
France,-7.78458649167871,8.01,2.78457652202455,0.0,84.6153869628906,82.1756097560976
Germany,-3.69678870538043,3.86,1.8108102219645,0.0,95.1923065185547,81.0414634146342
India,-5.83105322031207,10.195,4.74654893260742,584.0,46.1538467407227,70.15
Indonesia,-2.06551182934165,4.25,-0.401651435218994,0.0,37.980770111084,68.808
Italy,-8.97912609728922,9.16,1.5712309013288,0.0,68.75,82.1951219512195
Japan,-4.27860368763963,2.8,0.944197436071192,0.0,90.3846130371094,84.56
"Korea, Rep.",-0.709415359397681,3.93,1.56374685675343,0.0,75.961540222168,83.4268292682927
Mexico,-7.98791234014749,4.45,4.16727410061226,0.0,19.7115383148193,70.133
Netherlands,-3.88608391819609,3.82,1.92857201636885,0.0,96.1538467407227,81.3585365853659
Russian Federation,-2.65365450092145,5.59,0.898246027085079,32.0,19.230770111084,71.3387804878049
Saudi Arabia,-4.34138767799323,7.45,-8.46317828893147,0.0,62.980770111084,76.239
Spain,-11.3254383222864,15.53,1.22556634288189,0.0,76.4423065185547,82.3317073170732
Switzerland,-2.37556327967653,4.82,-0.741152989766164,0.0,97.1153869628906,83.0
Turkiye,1.9400322454902,13.11,14.8528234526725,188.0,43.269229888916,75.85
United Kingdom,-11.0308584551979,4.472,5.93314681453445,0.0,94.2307662963867,80.3512195121951
United States,-2.76780251140578,8.05,1.30491207120562,0.0,82.6923065185547,76.9804878048781
Afghanistan,-2.35110067344623,11.71,7.82166712677619,20475.0,4.807692527771,62.575
Albania,-3.30208203862541,13.067,0.696542442312051,0.0,31.730770111084,76.989
Algeria,-5.10000000018678,12.248,-5.02587618904937,26.0,27.884614944458,74.453
American Samoa,5.06535947712419,0.0,5.32929828061563,0.0,88.461540222168,0.0
Andorra,-11.1839399355384,0.0,1.11378607410401,0.0,88.461540222168,0.0
Angola,-5.63821471714934,10.35,10.7631052824799,21.0,18.269229888916,62.261
Antigua and Barbuda,-17.5021850332755,0.0,2.47268172010328,0.0,63.461540222168,78.841
Armenia,-7.19999999920631,12.18,1.80659270159933,10.0,57.6923065185547,72.173
Aruba,-18.5890992393899,0.0,-5.58888895935915,0.0,86.0576934814453,75.723
Austria,-6.45396846689127,5.36,2.55860215225682,0.0,90.8653869628906,81.1926829268293
Azerbaijan,-4.30000010230737,7.16,-7.39596582740913,7636.0,15.384614944458,66.868
"Bahamas, The",-23.5081763069431,12.867,-2.34499534130012,0.0,84.1346130371094,72.677
Bahrain,-4.64463735878491,1.674,-6.06707692867674,0.0,53.3653831481934,79.174
Bangladesh,3.44802562762527,5.209,3.84104472379904,2.0,17.3076915740967,71.968
Barbados,-13.3110215258234,10.105,1.21897088408282,0.0,85.5769195556641,77.393
Belarus,-0.672904125264921,4.05,11.8778791076959,0.0,50.961540222168,72.4572195121951
Belgium,-5.36258592006438,5.55,1.5056548610434,0.0,89.9038467407227,80.6951219512195
Belize,-13.4029590948651,10.788,-0.602952690204575,0.0,47.5961532592773,72.854
Benin,3.84879240030133,1.671,2.87803228859791,0.0,54.8076934814453,60.088
Bermuda,-6.83795519136594,0.0,-0.41505790647814,0.0,88.461540222168,81.136
Bhutan,-10.0096993291629,5.03,7.22330458532826,0.0,93.75,71.609
Bolivia,-8.7378843576993,7.9,-1.8543866829455,0.0,22.5961532592773,64.467
Bosnia and Herzegovina,-3.01509514759861,15.265,0.0621425496305932,0.0,28.365385055542,76.225
Botswana,-8.7294514980577,21.02,4.37979321279261,0.0,72.1153869628906,65.647
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,75.849
Brunei Darussalam,1.1335733495246,7.41,-10.8637596350162,0.0,86.538459777832,74.795
Bulgaria,-3.95861459810695,5.12,4.25786056171653,0.0,45.6730766296387,73.6585365853659
Burkina Faso,1.93032488957256,5.055,6.83501464966376,512.0,51.9230766296387,59.731
Burundi,0.327156892638385,1.03,5.9665023314011,63.0,3.8461537361145,61.566
Cabo Verde,-19.3028227528612,14.878,0.911022867058421,0.0,80.288459777832,74.808
Cambodia,-3.0960067306119,0.298,-0.67185654432032,0.0,10.5769233703613,70.416
Cameroon,0.259932915911776,3.947,0.70557203761706,429.0,12.5,60.833
Canada,-5.07435756759732,9.46,0.615457490563671,0.0,91.8269195556641,81.6704878048781
Cayman Islands,-5.10813540742788,0.0,0.156933428966099,0.0,67.788459777832,0.0
Central African Republic,0.899999996857062,6.38,1.98216055627785,57.0,10.0961542129517,54.604
Chad,-1.60000673705524,1.645,-5.45489640763718,196.0,6.73076915740967,52.777
Channel Islands,-7.96507880705455,7.811,2.2417551464936,0.0,0.0,81.264
Chile,-6.14524685679062,11.14,9.6374136550188,0.0,83.6538467407227,79.377
Colombia,-7.25229907492306,15.04,1.48021450852424,30.0,47.1153831481934,74.769
Comoros,-0.195556827149787,9.032,0.669668394306555,0.0,11.057692527771,64.166
"Congo, Dem. Rep.",1.7354227636007,5.127,3.90154957344082,1195.0,2.4038462638855,59.739
"Congo, Rep.",-6.23931963197583,22.517,-13.8554242466024,0.0,5.28846168518066,63.785
Costa Rica,-4.27335432161462,16.43,0.772593247062218,0.0,75.0,79.277
Cote d'Ivoire,1.73762042928969,2.66,1.5319983195637,0.0,32.6923065185547,59.032
Croatia,-8.58034302106221,7.51,0.734131433001608,0.0,61.538459777832,77.7243902439024
Cuba,-10.9483409741617,1.4,16.5547556871819,0.0,50.0,77.567
Curacao,-18.4384718493945,0.0,2.18000283258829,0.0,0.0,0.0
Cyprus,-4.37247418575215,7.59,-1.20902538604891,0.0,65.3846130371094,81.391
Czechia,-5.50296796125089,2.55,4.31840283925935,0.0,70.6730804443359,78.2268292682927
Denmark,-1.99460756850381,5.64,2.60762107978847,0.0,100.0,81.6024390243903
Djibouti,1.20202203296475,28.048,1.76228806828608,0.0,25.480770111084,62.694
Dominica,-16.6049115377829,0.0,-1.13277068393862,0.0,71.1538467407227,73.649
Dominican Republic,-6.72023937283404,6.13,4.72350401957794,0.0,25.9615383148193,72.889
Ecuador,-7.78760709093422,6.11,-0.399099295795224,0.0,34.1346168518066,72.153
"Egypt, Arab Rep.",3.55016483786844,7.939,6.17693409847959,527.0,24.0384616851807,70.99
El Salvador,-7.87838378345673,5.02,0.673331506804288,0.0,30.769229888916,71.061
Equatorial Guinea,-4.2414813213166,9.295,-8.83041399867622,0.0,4.32692289352417,60.708
Eritrea,0.0,7.28,0.0,0.0,8.65384578704834,67.133
Estonia,-0.55100125774716,6.96,-0.531509461698576,0.0,92.3076934814453,78.5951219512195
Eswatini,-1.55964258999499,25.08,3.22693657024442,0.0,46.6346168518066,59.692
Ethiopia,6.05953088643369,4.126,18.2545902876571,1617.0,41.3461532592773,65.371
Faroe Islands,-2.62873139350219,0.0,-0.0912016410785412,0.0,0.0,83.1975609756098
Fiji,-17.0002349004837,4.794,-1.21609609618226,0.0,72.5961532592773,67.924
Finland,-2.35496515679442,7.76,1.63467899810999,0.0,99.5192337036133,81.9317073170732
French Polynesia,-6.99999134820864,13.67,0.537628405812328,0.0,0.0,82.217
Gabon,-1.8377610635094,21.726,-9.17390572382459,0.0,20.6730766296387,66.531
"Gambia, The",0.591487287873974,5.096,2.18875895856547,0.0,39.9038467407227,62.612
Georgia,-6.76043981705519,11.73,7.28127821019069,0.0,71.6346130371094,72.765
Ghana,0.513941670628171,3.774,9.36557367753899,0.0,51.4423065185547,64.114
Gibraltar,0.0,0.0,0.0,0.0,0.0,82.198
Greece,-9.00404364202146,16.31,-0.860859160367283,0.0,58.6538467407227,81.2878048780488
Greenland,0.187608793759281,0.0,0.703000441093323,0.0,82.211540222168,71.6368292682927
Grenada,-13.7566222572107,0.0,-0.299985587376284,0.0,65.8653869628906,74.924
Guam,-11.3921811427561,6.577,4.34738676790825,0.0,88.461540222168,76.612
Guatemala,-1.79185769458479,3.359,2.87326020166152,0.0,12.9807691574097,71.797
Guinea,4.92026637242459,5.945,4.6939380285058,0.0,18.75,59.327
Guinea-Bissau,-2.39999999921721,3.605,0.102519750040116,0.0,7.21153831481934,59.999
Guyana,43.4795559399402,15.589,-26.296049874977,0.0,48.0769233703613,68.486
Haiti,-3.30550547260977,15.085,18.6851861279278,0.0,8.17307662963867,64.052
Honduras,-8.96476018404584,10.68,4.63418667466125,0.0,17.7884616851807,71.462
"Hong Kong SAR, China",-6.54479911001556,5.81,0.638327077046611,0.0,92.788459777832,85.4975609756098
Hungary,-4.53555083281567,4.25,6.40166854073203,0.0,60.5769233703613,75.5682926829269
Iceland,-7.24187203436699,5.48,4.05764258517083,0.0,94.711540222168,83.0634146341463
"Iran, Islamic Rep.",3.33028845926594,9.69,44.2649836337424,212.0,13.942307472229,74.832
Iraq,-12.0367930931152,16.23,-11.220196181598,866.0,9.13461494445801,69.123
Ireland,6.18453803881623,5.62,-1.56527857273824,0.0,91.3461532592773,82.5560975609756
Isle of Man,-8.83623206955568,0.0,-0.206443169673065,0.0,0.0,80.588
Israel,-1.85728927811242,4.33,1.0414184276851,0.0,69.711540222168,82.6487804878049
Jamaica,-9.89999999999999,6.5,3.44085524184395,0.0,55.288459777832,71.869
Jordan,-1.60663627844973,19.21,-0.475217230907219,0.0,59.1346168518066,75.184
Kazakhstan,-2.50000000028746,4.89,4.21085829687233,0.0,42.3076934814453,71.37
Kenya,-0.272766327438816,5.616,4.94885283291357,94.0,21.1538467407227,62.675
Kiribati,-1.65745856353591,0.0,4.10647405029427,0.0,67.3076934814453,67.266
"Korea, Dem. People's Rep.",0.0,3.064,0.0,0.0,1.44230771064758,73.274
Kosovo,-5.34027530229791,0.0,1.38110698371696,0.0,37.019229888916,76.567
Kuwait,-8.85527888535746,3.331,-13.9109339374961,0.0,53.8461532592773,76.92
Kyrgyz Republic,-8.39836429561723,4.63,6.12089546875451,0.0,13.4615383148193,71.8
Lao PDR,0.503031829708618,3.576,5.03450412472412,0.0,14.9038457870483,68.497
Latvia,-2.20298533825142,8.1,0.970729603669369,0.0,75.4807662963867,75.1853658536585
Lebanon,-21.3998996914321,12.971,85.5420423396925,0.0,12.0192308425903,77.804
Lesotho,-5.61940242631856,18.461,4.92821923722613,0.0,50.480770111084,54.693
Liberia,-2.98249127649473,3.842,-5.60789587759089,0.0,20.1923084259033,60.948
Libya,-29.7871479885529,20.343,-4.39759349195357,668.0,2.88461542129517,72.472
Liechtenstein,0.0,0.0,0.0,0.0,95.6730804443359,81.6585365853659
Lithuania,-0.0220737420901997,8.49,1.88881110005053,0.0,79.3269195556641,74.9780487804878
Luxembourg,-0.797435589222587,6.77,4.69451621916707,0.0,96.6346130371094,82.1439024390244
"Macao SAR, China",-54.2359000204747,2.57,-0.242183466882139,0.0,78.3653869628906,85.184
Madagascar,-7.13767162152631,2.363,4.31114513705579,0.0,16.8269233703613,65.182
Malawi,0.799998330902724,5.681,9.06116942932742,0.0,40.3846168518066,63.717
Malaysia,-5.53443529719299,4.54,-0.770874207888383,0.0,62.5,75.938
Maldives,-33.4927957864882,5.34,0.415365510860525,0.0,43.75,79.875
Mali,-1.235450447077,3.53,0.532340177530827,580.0,24.519229888916,58.633
Malta,-8.61249055076287,4.35,1.60774156305727,0.0,64.4230804443359,82.3487804878049
Marshall Islands,-1.84159642400449,0.0,6.10324803456439,0.0,59.6153831481934,64.977
Mauritania,-0.938516150524208,11.137,6.62349281480034,0.0,23.5576915740967,64.532
Mauritius,-14.5973979957037,8.63,2.57056167625571,0.0,66.8269195556641,74.1770731707317
"Micronesia, Fed. Sts.",-1.76541515225117,0.0,0.808820403806692,0.0,80.7692337036133,70.674
Moldova,-8.27597831976949,3.82,5.57500940096507,0.0,32.211540222168,70.166
Monaco,-12.9651347068146,0.0,2.78478948666729,0.0,0.0,0.0
Mongolia,-4.55775197337685,6.59,3.70672176605325,0.0,35.0961532592773,72.141
Montenegro,-15.3068937570407,17.88,-0.175604637679498,0.0,55.769229888916,75.9317073170732
Morocco,-7.18707957715962,11.114,0.14695044755959,0.0,38.9423065185547,73.92
Mozambique,-1.19854827231968,3.776,3.39857762436162,937.0,25.0,61.172
Myanmar,3.17377440041078,1.48,3.84425453561971,159.0,27.4038467407227,66.797
Namibia,-8.1014007802753,21.236,4.63153089901141,0.0,63.9423065185547,62.829
Nauru,4.23728813559323,0.0,1.96515679442508,0.0,36.0576934814453,63.437
Nepal,-2.36962062652862,13.078,3.21740233033769,0.0,29.8076915740967,69.246
New Caledonia,-2.39999999999999,13.56,0.430124979711081,0.0,0.0,80.8349512195122
New Zealand,-0.653921432098016,4.6,2.01134373473306,0.0,98.5576934814453,82.2560975609756
Nicaragua,-1.7662584519904,5.937,5.37534937877531,0.0,11.5384616851807,71.795
Niger,3.5502275061626,0.68,0.949190054478137,512.0,28.8461532592773,61.451
Nigeria,-1.79425308233591,5.999,7.8491420459553,2001.0,14.4230766296387,52.887
North Macedonia,-6.11088671102702,16.55,2.91014637143618,0.0,34.6153831481934,74.3951219512195
Northern Mariana Islands,-29.6808510638298,0.0,3.31509618377719,0.0,0.0,0.0
Norway,-1.2781717845226,4.42,-2.51726059053333,0.0,97.5961532592773,83.209756097561
Oman,-3.37971439992238,2.94,-10.7836781304004,0.0,62.019229888916,74.757
Pakistan,-1.27408744338709,6.55,9.9444982105729,373.0,22.115385055542,66.269
Palau,-9.10720688418787,0.0,-0.631163708086788,0.0,36.0576934814453,0.0
Panama,-17.6683327053971,14.114,-0.550968754665462,0.0,30.2884616851807,76.657
Papua New Guinea,-3.16738117629639,2.694,1.63262122852706,0.0,29.3269233703613,65.787
Paraguay,-0.819785390971916,7.55,2.20392146778615,0.0,21.634614944458,73.182
Peru,-10.8696407826493,7.18,3.92189761539879,5.0,33.1730766296387,73.665
Philippines,-9.51829474045297,2.52,1.65049018681367,348.0,33.6538467407227,72.119
Poland,-2.02011621505449,3.16,4.25508733574023,0.0,73.0769195556641,76.5
Portugal,-8.30051604221151,6.8,2.003474566791,0.0,77.4038467407227,80.9756097560976
Puerto Rico,-4.20280671867371,8.89,2.40572349754528,0.0,57.211540222168,78.041
Qatar,-3.64044980532107,0.14,-15.0274272940579,0.0,77.8846130371094,79.099
Romania,-3.67751079121797,5.03,4.10931518447222,0.0,52.8846168518066,74.2536585365854
Rwanda,-3.37398633227004,13.01,6.72390205127719,0.0,69.2307662963867,66.774
Samoa,-3.10844401053139,9.793,1.22360923994052,0.0,76.9230804443359,72.768
San Marino,-6.64791081780605,0.0,0.344576762576267,0.0,0.0,0.0
Sao Tome and Principe,3.02456821061261,15.443,5.45954449330932,0.0,61.0576934814453,67.785
Senegal,1.3420737726679,3.509,1.60273383045899,0.0,56.730770111084,68.006
Serbia,-0.903218501520755,9.01,2.44841613321584,0.0,38.461540222168,74.4780487804878
Seychelles,-8.64920645543945,0.0,-1.13704110532071,0.0,89.4230804443359,77.2365853658537
Sierra Leone,-1.96848689118619,3.572,10.9149570581921,0.0,40.8653831481934,59.763
Singapore,-3.90105340221118,4.1,-2.6964548484051,0.0,99.038459777832,84.4658536585366
Sint Maarten (Dutch part),-16.5,0.0,1.7528662537153,0.0,0.0,74.584
Slovak Republic,-3.33624467219524,6.69,2.3707030397381,0.0,66.3461532592773,76.8658536585366
Slovenia,-4.3213699045107,4.97,1.25942542670587,0.0,78.8461532592773,80.5317073170732
Solomon Islands,-3.38111604772683,0.892,-1.32594948367304,0.0,60.0961532592773,70.199
Somalia,2.48937434554443,19.567,6.44018355113027,1942.0,1.92307686805725,55.967
South Africa,-6.34247114929317,24.34,5.69261529432792,0.0,56.25,65.252
South Sudan,0.0,13.745,0.0,58.0,0.0,55.48
Sri Lanka,-4.62451581705935,5.2,3.27090210876445,0.0,44.711540222168,76.393
St. Kitts and Nevis,-14.5305297142572,0.0,-6.58449802825504,0.0,64.9038467407227,71.627
St. Lucia,-24.3657122145705,20.39,-4.28821921727021,0.0,70.1923065185547,73.416
St. Martin (French part),0.0,0.0,0.0,0.0,0.0,80.149
St. Vincent and the Grenadines,-3.73939308658035,20.55,-0.866507643796325,0.0,79.8076934814453,72.126
Sudan,-3.62980082410752,19.292,115.65291501439,45.0,5.76923084259033,65.614
Suriname,-15.9751963934378,9.524,45.2177644350999,0.0,37.5,72.561
Sweden,-2.17021317885872,8.29,1.99404592785966,0.0,98.0769195556641,82.3560975609756
Syrian Arab Republic,-3.87368168638868,10.011,54.6038476153931,4862.0,0.480769217014313,72.14
Tajikistan,4.40000000000008,7.485,1.65596119091043,0.0,7.692307472229,67.994
Tanzania,1.99196460647855,2.78,6.42301399038681,25.0,41.8269233703613,66.408
Thailand,-6.0669259685517,1.1,-1.28194431763421,46.0,36.538459777832,79.274
Timor-Leste,31.9144886243049,4.804,-19.3411797139216,0.0,44.230770111084,68.475
Togo,1.97574291923675,4.028,1.79923679710228,0.0,26.9230766296387,61.035
Tonga,0.488645323313833,2.654,-4.19806880314589,0.0,45.1923065185547,70.928
Trinidad and Tobago,-7.67833117665977,4.21,-4.40128687737823,0.0,49.519229888916,74.406
Tunisia,-8.81787876669556,16.373,6.69548785223802,0.0,52.4038467407227,75.292
Turkmenistan,-3.40000000000001,4.799,6.77432696162754,0.0,6.25,68.687
Turks and Caicos Islands,-26.7828769274205,0.0,5.46019003976748,0.0,0.0,75.001
Tuvalu,-4.27483167471405,0.0,0.890715817287941,0.0,68.2692337036133,64.382
Uganda,2.95130642159407,4.511,2.72148444270766,0.0,16.3461532592773,62.851
Ukraine,-3.75280409994949,9.48,10.2949442779935,196.0,23.0769233703613,71.1851219512195
United Arab Emirates,-4.95705243303316,4.29,-12.0313053012111,0.0,83.1730804443359,78.946
Uruguay,-6.26297681887324,10.33,9.95751211134611,0.0,88.9423065185547,78.43
Uzbekistan,1.99558507835501,5.29,11.4424248309329,0.0,15.865385055542,70.331
Vanuatu,-4.99249142889525,2.017,2.78534184329737,0.0,48.5576934814453,70.299
"Venezuela, RB",0.0,7.53,0.0,0.0,3.36538457870483,71.095
Vietnam,2.86541194612104,2.1,1.46748661751053,0.0,42.788459777832,75.378
